,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,
"OP",,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ALU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"struct andl",,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,"struct orl",,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,"struct xorl",,,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,"struct add",,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,"struct sub",,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,"struct ad2",,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,"struct sr",,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,"struct rr",,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,,"struct sl",,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,,"struct rl",,,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,,"struct rl8",,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"X-bus","enum x_src",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"m0",,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,"m1",,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,
,,"m2",,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,"m3",,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
,,"mc0",,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,
,,"mc1",,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,
,,"mc2",,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,
,,"mc3",,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
,,"struct mov_ram_x",,,,,,,1,,,"x_src",,,,,,,,,,,,,,,,,,,,,,,
,,"struct mov_mul_p",,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,"struct mov_ram_p",,,,,,,,1,1,"x_src",,,,,,,,,,,,,,,,,,,,,,,
,"Y-bus","enum y_src",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"m0",,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
